name,image_url,image_path
Noah Clowney,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Clowney_Noah_bkn24.jpg,Noah_Clowney.jpg
Amir Coffey,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Coffey_Amir_lac24.jpg,Amir_Coffey.jpg
Isaiah Collier,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Collier_Isaiah_uta24.jpg,Isaiah_Collier.jpg
John Collins,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Collins_John_uta24.jpg,John_Collins.jpg
Zach Collins,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Collins_Zach_sas24.jpg,Zach_Collins.jpg
Mike Conley,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Conley_Mike_min24.jpg,Mike_Conley.jpg
Pat Connaughton,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Connaughton_Pat_mil24.jpg,Pat_Connaughton.jpg
Bilal Coulibaly,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Coulibaly_Bilal_was24.jpg,Bilal_Coulibaly.jpg
Ricky Council IV,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Council_Ricky_phi24.jpg,Ricky_Council_IV.jpg
Torrey Craig,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Craig_Torrey_chi24.jpg,Torrey_Craig.jpg
Isaiah Crawford,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Crawford_Isaiah_sac24.jpg,Isaiah_Crawford.jpg
Jae Crowder,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Crowder_Jae_sac24.jpg,Jae_Crowder.jpg
Cade Cunningham,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Cunningham_Cade_det24.jpg,Cade_Cunningham.jpg
Seth Curry,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Curry_Seth_cha24.jpg,Seth_Curry.jpg
Stephen Curry,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Curry_Stephen_gsw24.jpg,Stephen_Curry.jpg
Tristan Da Silva,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dasilva_Tristan_orl24.jpg,Tristan_Da_Silva.jpg
Pacome Dadiet,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dadiet_Pacome_nyk24.jpg,Pacome_Dadiet.jpg
Dyson Daniels,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Daniels_Dyson_atl24.jpg,Dyson_Daniels.jpg
N'Faly Dante,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dante_Nfaly_hou24.jpg,N'Faly_Dante.jpg
Anthony Davis,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Davis_Anthony_lal24.jpg,Anthony_Davis.jpg
J.D. Davison,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Davison_JD_bos24.jpg,J.D._Davison.jpg
DeMar DeRozan,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/DeRozan_Demar_sac24.jpg,DeMar_DeRozan.jpg
RayJ Dennis,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dennis_Ray_lac24.jpg,RayJ_Dennis.jpg
Donte DiVincenzo,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Divincenzo_Donte_min24.jpg,Donte_DiVincenzo.jpg
Moussa Diabate,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Diabate_Moussa_cha24.jpg,Moussa_Diabate.jpg
Gradey Dick,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dick_Gradey_tor24.jpg,Gradey_Dick.jpg
Ousmane Dieng,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dieng_Ousmane_okc23.jpg,Ousmane_Dieng.jpg
Rob Dillingham,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dillingham_Rob_min24.jpg,Rob_Dillingham.jpg
Spencer Dinwiddie,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dinwiddie_Spencer_dal24.jpg,Spencer_Dinwiddie.jpg
